Id	Text	Speaker	Action	OnScreen Characters	Background	Music
	She raises her head and stare at me, through the looking glass in front of her.	None		Rokuko - Neutral	Bathroom	
	"Oh, sorry."	Hameru Tabe		Rokuko - Neutral	Bathroom	
	She gives a discreet smile and resumes what she was doing.	None		Rokuko - Neutral	Bathroom	
	I leave the bathroom, a little troubled, but soon all will be over. I need to find Keisuke.	None		None	School corridor	Theme
	...	None		None	School corridor	
	There he is.	None		Keisuke - Neutral	School corridor	
	"Shall we go then?"	Keisuke		Keisuke - Neutral	School corridor	
	"Yes, please."	Hameru Tabe		Keisuke - Neutral	School corridor	
	Keisuke starts walking and talking again. I just follow, trying to make a mental map of this place.	None		Keisuke - Neutral	School corridor	
	"I'll never be able to find anything here."	Hameru Tabe		Keisuke - Neutral	School corridor	
	"Of course you will. Look, that corridor over there are the dorms. And the infirmary is just ahead."	Keisuke		Keisuke - Happy	School corridor	
	"Ok, I'll try to remember this."	Hameru Tabe		Keisuke - Happy	School corridor	
	We arrive at the infirmary.	None		Keisuke - Happy	School corridor	
	"I think you can leave me now. The dorms are just over there, I won't get lost around here, I guess."	Hameru Tabe		Keisuke - Happy	School corridor	
	"Okay man! Make sure you are well for the classes tomorrow. Here, take my number, you can call me if you need anything."	Keisuke		Keisuke - Neutral	School corridor	
	"Thanks. Talk to you later then."	Hameru Tabe		Keisuke - Neutral	School corridor	
	Keisuke leaves and I prep...	None		None	School corridor	
	"Ouch!"	Hameru Tabe		None	CG - Orika opens the door on me	
	A girl slammed the door on my face as I was about to knock on it!	None		None	CG - Orika opens the door on me	
	"Oh! SORRY SORRY SORRY SORRY"	Clumsy Girl		Orika - Spooked	School corridor	Routine
	"Shit, my nose. Damn it!"	Hameru Tabe		Orika - Spooked	School corridor	
	"..."	Clumsy Girl		Orika - Sad	School corridor	
	She is about to cry. I better say something...	None		Orika - Sad	School corridor	
	"Sorry. It was not your fault..."	Hameru Tabe		Orika - Sad	School corridor	
	"Of course it was.... I'm so so so so sooo sorry..."	Clumsy Girl		Orika - Sad	School corridor	
	"It's okay."	Hameru Tabe		Orika - Sad	School corridor	
	"...I'm Hoshino Orika..."	Orika		Orika - Neutral	School corridor	
	"Orika? I think I heard your name already."	Hameru Tabe		Orika - Neutral	School corridor	
	"Guess, I'm famous around here for being clumsy... I'm always bumping into people or dropping stuff into my dishes."	Orika		Orika - Neutral	School corridor	
	"No, it was nothing like that... Anyway... I'm here to see the nurse. I'm not feeling too well..."	Hameru Tabe		Orika - Neutral	School corridor	
	I notice she looking at my waist. I should've changed clothes before coming here...	None		Orika - Spooked	School corridor	
	"Oh, what happened to your pants? Is that tomato sauce?"	Orika		Orika - Spooked	School corridor	
	"No, it's not bloo... wait. IT IS tomato sauce! How did you know?"	Hameru Tabe		Orika - Neutral	School corridor	
	"Hahaha that happens to me at almost every class from Cavallo-sensei."	Orika		Orika - Embarrassed	School corridor	
	"Let me guess. That's our italian cuisine teacher?"	Hameru Tabe		Orika - Neutral	School corridor	
	Wonder if he cooked that Lasagna... NO. I need to forget that happened.	None		Orika - Happy	School corridor	
	"Yes! I've spoken to Cavallo-sensei already: Tomato sauce is one of the worst kinds of stains."	Orika		Orika - Happy	School corridor	
	"It sticks to your clothing like cheese to a hot pan."	Orika		Orika - Happy	School corridor	
	"You have to clean it with lemon juice or vinegar. Did you know that?"	Orika		Orika - Happy	School corridor	
	"Oh, no, I didn't! That's a very good tip! Thanks!"	Hameru Tabe		Orika - Happy	School corridor	
	"No problem! I know a lot about removing stains because I'm always dropping stuff on my clothes..."	Orika		Orika - Embarrassed	School corridor	
	"That happens, as you can see."	Hameru Tabe		Orika - Embarrassed	School corridor	
	"Yeah, but even I, being as clumsy as I am, never did THAT to any of my pants. There's too much tomato sauce there..."	Orika		Orika - Suspicious	School corridor	
	"Oh, bet you never fell into a Lasagna then."	Hameru Tabe		Orika - Suspicious	School corridor	
	"I did, yes. But not with my... privates... I landed with my face..."	Orika		Orika - Embarrassed	School corridor	
	"Oh... sorry about that..."	Hameru Tabe		Orika - Embarrassed	School corridor	
	"It's okay, I think I grew used to that... Anyway, what was you doing here again?"	Orika		Orika - Neutral	School corridor	
	I completely forgot about what I actually did to the Lasagna.	None		Orika - Neutral	School corridor	
	This girl made me feel a little better. Or was it the door slamming on my head and putting everything in its right place?	None		Orika - Neutral	School corridor	
	"Well, I was feeling a little uneasy, but I think I'm better now. It seems all needed was a door slammed on my face."	Hameru Tabe		Orika - Neutral	School corridor	
	"Oh... Stop mentioning that..."	Orika		Orika - Embarrassed	School corridor	
	"Sorry. Well, I gotta go, clean up this mess and take a shower."	Hameru Tabe		Orika - Embarrassed	School corridor	
	"Sure. Go on then."	Orika		Orika - Happy	School corridor	
	"Okay, see you around!"	Hameru Tabe		Orika - Happy	School corridor	
	"Cya!"	Orika		Orika - Happy	School corridor	
	Well, now, if I remember well, the dorms are right over there...	None		None	School corridor	Theme
	And my room is...	None		None	School corridor	
	Right here!	None		None	School corridor	
	I start opening the door with my key when something pushes me against the door, and we both fell inside the room.	None		None	School corridor	
		None		None	CG - Orika falls over me	Routine
	"Gah!"	Orika		None	CG - Orika falls over me	
	"Ouch!"	Hameru Tabe		None	CG - Orika falls over me	
	"Sorry! Sorry! Oh... Sorry..."	Orika		None	CG - Orika falls over me	
	"It's okay, but can you please get up?"	Hameru Tabe		None	CG - Orika falls over me	
	"Sorry..."	Orika		Orika - Sad	My room	
	"Calm down, stop saying 'sorry'"	Hameru Tabe		Orika - Sad	My room	
	"Oh, sorry.... I mean... Okay... Sorry... Oh shoot..."	Orika		Orika - Embarrassed	My room	
	"What happened?"	Hameru Tabe		Orika - Embarrassed	My room	
	"I forgot to ask your name... I'm always forgetting stuff..."	Orika		Orika - Embarrassed	My room	
	"That's it? I'm Hameru Tabe. Nice to meet you, despite all this fuss haha"	Hameru Tabe		Orika - Embarrassed	My room	
	I try to laugh to lighten things up.	None		Orika - Embarrassed	My room	
	"Hahaha, Hameru Tabe! You are funny! Nice to meet you! Bye!"	Orika		Orika - Happy	My room	
	"Ahm..."	Hameru Tabe		None	My room	
	As fast as she came, she is gone.	None		None	My room	
	I close my dorm room, kinda exhausted. I think I'll just take a shower and go to bed.	None		None	My room	
	...	None		None	Black screen	Mute
	zzzz...	None		None	Black screen	Mute
	... I'm fucking a Lasagna ...	None		None	CG - Lasagna with dick	Fuck
	... It feels so good ...	None		None	CG - Lasagna with dick	
	... I need more ...	None		None	CG - Lasagna with dick	
	zzzz...	None		None	Black screen	
	I open my eyes, and I'm on the kitchen.	None		None	Kitchen	Mute
	"What am I doing here?"	Hameru Tabe		None	Kitchen	
	It still night, everything is dark.	None		None	Kitchen	
	"Damn. What is going on with me?"	Hameru Tabe		None	Kitchen	
	I think I should just accept my desires...	None		None	Kitchen	
	Yeah, that's right. Where's that Lasagna?	None		None	Kitchen	
	...	None		None	Kitchen	
	Oh, it's not here.	None		None	Kitchen	
	Shit. Will I ever be able to feel that way again?	None		None	Kitchen	
	I gotta try.	None		None	Kitchen	
	I gotta find who made that Lasagna.	None		None	Kitchen	
	But how?	None		None	Kitchen	
	Well, for now, I'm better off going back to bed.	None		None	Kitchen	
	I start going back to the dorms when I see someone coming. It's that girl from the bathroom.	None		None	School corridor	Theme
	"Hey."	Bathroom Girl		Rokuko - Neutral	School corridor	
	"Hey... Pretty late to be up, huh?"	Hameru Tabe		Rokuko - Neutral	School corridor	
	I figured it would be better for me if I started asking questions before her.	None		Rokuko - Neutral	School corridor	
	"Yeah. I was just taking a walk."	Bathroom Girl		Rokuko - Neutral	School corridor	
	"Me too. I'm Hameru Tabe by the way."	Hameru Tabe		Rokuko - Neutral	School corridor	
	"Yeah, I know."	Bathroom Girl		Rokuko - Neutral	School corridor	
	"What.. how?" - How come everyone already knows me?	Hameru Tabe		Rokuko - Neutral	School corridor	
	"I just know stuff around here. Don't bother with it."	Bathroom Girl		Rokuko - Showing off	School corridor	
	"Okay I guess... Well, I should go back to bed."	Hameru Tabe		Rokuko - Showing off	School corridor	
	"Why?"	Bathroom Girl		Rokuko - Neutral	School corridor	
	"Oh, I have my first class tomorrow, don't want to be late..."	Hameru Tabe		Rokuko - Neutral	School corridor	
	"Pff... Are you really here to learn?"	Bathroom Girl		Rokuko - Showing off	School corridor	
	"Yeah, why are you here?"	Hameru Tabe		Rokuko - Showing off	School corridor	
	"Just to be certified. It's easy to draw investors to my restaurant if I have a degree from here."	Bathroom Girl		Rokuko - Showing off	School corridor	
	"Oh, it makes sense. So you cook well enough already?"	Hameru Tabe		Rokuko - Showing off	School corridor	
	"You can bet on it."	Bathroom Girl		Rokuko - Showing off	School corridor	
	"I'd like to try you food."	Hameru Tabe		Rokuko - Showing off	School corridor	
	"Oh. For reals?"	Bathroom Girl		Rokuko - Embarrassed	School corridor	
	"Yeah, why not?"	Hameru Tabe		Rokuko - Embarrassed	School corridor	
	"Okay. I'll prepare you something when I have the time."	Bathroom Girl		Rokuko - Neutral	School corridor	
	"I'd like that. Thanks. What's your name again?"	Hameru Tabe		Rokuko - Neutral	School corridor	
	"Aoki Rokuko."	Rokuko		Rokuko - Neutral	School corridor	
	"Nice meeting you. Can't wait to try your dish."	Hameru Tabe		Rokuko - Neutral	School corridor	
	"You won't' regret it."	Rokuko		Rokuko - Neutral	School corridor	
	"I'll be going now, see ya soon?"	Hameru Tabe		Rokuko - Neutral	School corridor	
	"Sure. Bye."	Rokuko		Rokuko - Neutral	School corridor	
	I return to my room, and there is not much left to do, except to sleep.	None		None	My room	Mute
	I lie down on my bed and can't stop thinking about the Lasagna.	None		None	My room	Mute
	My cock starts to get hard again.	None		None	CG - Lasagna with dick	Fuck
	(rattles rattles) (bump)	None		None	My room	
	What? Is someone trying to open my door?	None	S1-12	None	My room	Mute
						
12	(knock knock knock)	None		None	My room	
	Open it?	None		None	My room	
	[OPT] Open	None	S1-13	None	My room	
	[OPT] Don't open	None	S1-12	None	My room	
						
13	"Keisuke???"	Hameru Tabe		Keisuke - Wasted	My room	Routine
	"Oh! Hey Hameru Tabe! I think I got confused. Isn't this the infirmary?"	Keisuke		Keisuke - Wasted	My room	
	"What? Are you drunk?"	Hameru Tabe		Keisuke - Wasted	My room	
	"Maybe hehehe... I need to puke..."	Keisuke		Keisuke - Wasted	My room	
	"Oh man. Come on in."	Hameru Tabe		Keisuke - Wasted	My room	
	"Okay. Do you have anything to drink?"	Keisuke		Keisuke - Wasted	My room	
	"I haven't even unpacked yet!"	Hameru Tabe		Keisuke - Wasted	My room	
	"Oh... We can go to the kitchen grab some scotch and do a welcome party!"	Keisuke		Keisuke - Wasted	My room	
	"Go puke, then we talk."	Hameru Tabe		Keisuke - Wasted	My room	
	"Okay..."	Keisuke		Keisuke - Wasted	My room	
	He moves slowly towards my bathroom and I can hear him vomiting there.	None		None	My room	
	"Blaaarghhh... cof cof... blwaaaaaargh.... cof..."	Keisuke		None	My room	
	"I think I'm ready for another one!" - I hear him say from the bathroom.	Keisuke		None	My room	
	"Another vomiting?"	Hameru Tabe		None	My room	
	He comes back with some vomit on his shirt.	None		Keisuke - Puked	My room	
	"HAHAHA oh man, you're funny. No, another drink! Let's go, follow me!"	Keisuke		Keisuke - Puked	My room	
	[OPT] Follow him	None	S1-15	Keisuke - Puked	My room	
	[OPT] Don't follow him	None	S1-14	Keisuke - Puked	My room	
						
14	"Nah, I better go to bed. We have classes tomorrow..."	Hameru Tabe	SET K I	Keisuke - Puked	My room	
	"You know what man? You are right. Sorry for annoying you! Good night!	Keisuke		Keisuke - Puked	My room	
	"Good night! Be well!" - I say this and close the door. I just want to sleep.	Hameru Tabe		Keisuke - Puked	My room	
	As soon as my head touches my pillow, I fall asleep.	None	S1-21	None	My room	Mute
						
15	"Okay, why not. But we should change your shirt."	Hameru Tabe		Keisuke - Puked	My room	
	"Oh... This?"	Keisuke		Keisuke - Puked	My room	
	He removes his shirt.	None		Keisuke - Puked	My room	Mute
	"Solved!"	Keisuke		Keisuke - Shirtless	My room	Theme
	His chest is awesome. Wish I had the discipline to build a body like that.	None		Keisuke - Shirtless	My room	
	"So, I need to eat something. You know what they say about drinking on an empty stomach!"	Keisuke		Keisuke - Shirtless	My room	
	"But... Okay, you just puked, so your stomach must be empty. I don't know if that's how it works, but okay."	Hameru Tabe		Keisuke - Shirtless	My room	
	"Let's go already!"	Keisuke		Keisuke - Shirtless	My room	
	We leave my room and go towards the kitchen.	None		Keisuke - Shirtless	School corridor	
	Keisuke trips along the way, but we eventually arrive.	None		Keisuke - Shirtless	School corridor	
	"Okay, so what should I cook for you?"	Hameru Tabe		Keisuke - Shirtless	Kitchen	
	"Oh, no no no, I will cook for US!"	Keisuke		Keisuke - Shirtless	Kitchen	
	I won't be eating his food.	None		Keisuke - Shirtless	Kitchen	
	"I'm not hungry, really..."	Hameru Tabe		Keisuke - Shirtless	Kitchen	
	"I'll cook for myself then!"	Keisuke		Keisuke - Shirtless	Kitchen	
	"And what will you cook?"	Hameru Tabe		Keisuke - Shirtless	Kitchen	
	"The only thing I know! JUNK FOOD!"	Keisuke		Keisuke - Shirtless	Kitchen	
	"What do you need?"	Hameru Tabe		Keisuke - Shirtless	Kitchen	
	"Hmmmmm let me see... Scotch! Pound ground meat, some pepper, egg, some bread... Oil... uhm... pepper and..."	Keisuke		Keisuke - Shirtless	Kitchen	
	"You said pepper already."	Hameru Tabe		Keisuke - Shirtless	Kitchen	
	"Oh... Sorry... Uhm... Oh man, I don't know, get that and if I need anything else, I'll improvise. C'mon! Let's do this!"	Keisuke		Keisuke - Shirtless	Kitchen	
	He starts pre-heating the grill while I grab the ingredients he wanted. It seems he's going for a classic burger.	None		Keisuke - Shirtless	Kitchen	
	"Hey man, get me some shrooms as well!"	Keisuke		Keisuke - Shirtless	Kitchen	
	"Okay!"	Hameru Tabe		Keisuke - Shirtless	Kitchen	
	I come back with the ingredients, and he starts mixing everything as it should.	None		Keisuke - Shirtless	Kitchen	
	As he starts form the patties, I notice he is making four burgers.	None		Keisuke - Shirtless	Kitchen	
	"I'm not eating, remember?"	Hameru Tabe		Keisuke - Shirtless	Kitchen	
	"Oh shoot! I forgot. Well, I can eat four, no problem!"	Keisuke		Keisuke - Shirtless	Kitchen	
	His burgers are coming up quite pretty, I might as well eat one.	None		Keisuke - Shirtless	Kitchen	
	"Time to fire it up!"	Keisuke		Keisuke - Shirtless	Kitchen	
	He starts grilling the burgers. They smell fine. Not great, but I mean, it's very hard to fuck up a burger.	None		None	Kitchen	
	Unless you overcook it or...	None		None	Kitchen	
	"Blaaargh..."	Keisuke		None	Kitchen	
	"What? I was not looking! What happened?"	Hameru Tabe		Keisuke - Shirtless	Kitchen	
	"Cof... cof... oh, nothing, everything is fine."	Keisuke		Keisuke - Shirtless	Kitchen	
	Did he... puked on the grill?	None		Keisuke - Shirtless	Kitchen	
	"Okay, ready for consumption! You sure you don't want one?"	Keisuke		Keisuke - Shirtless	Kitchen	
	"Yup." - I was considering eating one, until that 'blaargh'.	Hameru Tabe		Keisuke - Shirtless	Kitchen	
	"Your loss!"	Keisuke		Keisuke - Shirtless	Kitchen	
	He starts eating savagely.	None		Keisuke - Shirtless	Kitchen	
	The first burger is gone.	None		Keisuke - Shirtless	Kitchen	
	The second one as well.	None		Keisuke - Shirtless	Kitchen	
	The third one.. oh wat?	None		Keisuke - Shirtless	Kitchen	
	He starts running towards the door with a burger on his hand.	None		Keisuke - Shirtless	Kitchen	
	"Gosh... I'll be right back."	Keisuke		Keisuke - Shirtless	Kitchen	
	Maybe he went to puke? Hope he finds his way to the bathroom this time...	None		None	Kitchen	
	Anyway, let me take a look at his burguer.	None		None	Kitchen	
	Hm.	None		None	Kitchen	Mute
	Wonder if Keisuke cooked the Lasagna...	None		None	Kitchen	
	Maybe if I... Test his burger with my dick...	None		None	Kitchen	
	[OPT] Check Burguer	None	S1-17	None	Kitchen	
	[OPT] Wait for Keisuke	None	S1-16	None	Kitchen	
						
16	...	None	SET K F	None	Kitchen	
	...	None		None	Kitchen	
	Where is he?	None		None	Kitchen	
	I think I'm gonna look for him.	None		None	Kitchen	
	As I walk towards the bathroom, I find a track of vomit going to the exit door.	None		None	School corridor	Theme
	I follow it.	None		None	School corridor	
	I'm outside, and I can see him, with a new shirt on, sitting on the curb.	None		Keisuke - Wasted	School gates	
	"Hey Keisuke! What happened?"	Hameru Tabe		Keisuke - Wasted	School gates	
	"Hameru Tabe!!! I missed you. You are my friend, aren't you?"	Keisuke		Keisuke - Wasted	School gates	
	"Yes! I was waiting for you on the kitchen!" - I sit beside him.	Hameru Tabe		Keisuke - Wasted	School gates	
	"Oh... I forgot that..."	Keisuke		Keisuke - Wasted	School gates	
	"Usually I come outside... Because of the fresh air... And... And..."	Keisuke		Keisuke - Wasted	School gates	
	He rests his head on my shoulder. Hope he doesn't puke on me...	None		Keisuke - Wasted	School gates	
	"And... well... that's about it..."	Keisuke		Keisuke - Wasted	School gates	
	"Yeah, that's a good thing to do when you are sick..."	Hameru Tabe		Keisuke - Wasted	School gates	
	"Noooo maaaan! You are siiiick! I'm a dork!"	Keisuke		Keisuke - Wasted	School gates	
	"That's not the sick I meant..."	Hameru Tabe		Keisuke - Wasted	School gates	
	"Dork. Dork. Dork is a weird word, right?"	Keisuke		Keisuke - Wasted	School gates	
	"Oh damn... here we go... Drunk-talk..."	Hameru Tabe		Keisuke - Wasted	School gates	
	"Yes! Drunk talk! Fuck it. Fuck this school, fuck the food, fuck everything... Oooh! Speaking of fucking the food...."	Keisuke		Keisuke - Wasted	School gates	
	WHAT? DOES HE KNOW WHAT I DID? IT WAS ONE TIME ONLY! SHIT! I'LL NEVER DO IT AGAIN!	None		Keisuke - Wasted	School gates	
	"Did you know... that there's a food fucker on this school?"	Keisuke		Keisuke - Wasted	School gates	
	SHIT.	None		Keisuke - Wasted	School gates	
	"Yeeeeees... I heard he attacked five times last month.."	Keisuke		Keisuke - Wasted	School gates	
	"One time, I found the fucked food. It was a Taco. It was filled with cum. GUACUM MOLE. HAHAHAHAHA"	Keisuke		Keisuke - Wasted	School gates	
	Wait. I did not fuck a Taco. Is there another food fucker? Is that what I am now? A food fucker?	None		Keisuke - Wasted	School gates	
	"haha... GUACUM MOLE... That was terrible, wasn't it?"	Keisuke		Keisuke - Wasted	School gates	
	"Is there really a food fucker?"	Hameru Tabe		Keisuke - Wasted	School gates	
	"Oh yes... sorry for the bad joke.. but I really found that Taco. I almost ate it. Gross. I get sick just remembering it..."	Keisuke		Keisuke - Wasted	School gates	
	"... Blaaargh"	Keisuke		Keisuke - Puked	School gates	
	He puked again. Glad he moved his head on the opposite side from where I'm sitting.	None		Keisuke - Puked	School gates	
	But hey... Maybe I'm not so weird... Maybe food fucking is a common practice between chefs worldwide.	None		Keisuke - Puked	School gates	
	"Hey man... I think I'm going to sleep now, okay?"	Keisuke		Keisuke - Puked	School gates	
	"Let's go inside, I'll take you to your room... Oh wait... Where's your room?"	Hameru Tabe		Keisuke - Puked	School gates	
	"Just beside yours..."	Keisuke		Keisuke - Puked	School gates	
	That explains why he was trying to open my door...	None		Keisuke - Puked	School gates	
	I would try (and fail) to carry him, but he is managing to drag himself, I think I just need to steer him on the right directions.	None		Keisuke - Puked	School corridor	
	...	None		None	School corridor	
	That was tiring, but he is safe and sound inside his room. And I am on mine.	None		None	My room	
	Time to sleep, finally. It's almost morning already...	None	S1-21	None	My room	
						
17	I look at his burguer. It sure looks good.	None	SET K L	None	Kitchen	Fuck
	I think all the puking has turned me down...	None		None	Kitchen	
	I can't get a hard on.	None		None	Kitchen	Mute
	I try to smell the burguer. It smells fine.	None		None	Kitchen	
	I grab the burguer. It is firm and well structured, despite the drunkenness of the chef who prepared it.	None		None	Kitchen	
	[OPT] Eat burger	None	S1-19	None	Kitchen	
	[OPT] Fuck burguer	None	S1-18	None	Kitchen	
						
18	I don't think Keisuke is the one who did the Lasagna... He said himself, he knows only junk food.	None		None	Kitchen	
	But it will not hurt to try, I guess.	None		None	Kitchen	Fuck
	I start caressing my dick over my pants.	None	S1-20	None	Kitchen	
						
19	What if he puked on the Burguer?	None		None	Kitchen	
	Oh, it is so well built...	None	S1-20	None	Kitchen	
						
20	"Hey man! I'm back! I'm feeling better now! HEY! Are you eating my burguer?"	Keisuke		Keisuke - Shirtless	Kitchen	Routine
	"Oh! Yes!" - I take a big bite just to make sure he believes me. - "It's delicious!"	Hameru Tabe		Keisuke - Shirtless	Kitchen	
	In fact, it is really delicious. Puke or no puke, this Burger is awesome.	None		Keisuke - Shirtless	Kitchen	
	"Really? Nobody ever tries my dishes..."	Keisuke		Keisuke - Shirtless	Kitchen	
