Id	Text	Speaker	Action	OnScreen Characters	Background	Music
	If this pie fucks as awesomely as it tastes, I think Rokuko is the one who prepared the Lasagna.	None		None	My room	
	[OPT] Fuck the pie.	None	S2-2	None	My room	
	[OPT] Eat the whole pie.	None	S2-3	None	My room	
						
2	Well, let's fuck it then.	None		None	My room	Mute
	I grab the pie and shove my dick into it.	None		None	My room	Fuck
	It feels warm.	None		None	CG - Pie with dick	
	The pie filling embraces my cock.	None		None	CG - Pie with dick	
	I start thrusting my cock vigorously into the pie.	None		None	CG - Pie with dick	
	It feels little better than jerking off. In fact, after a while, I get bored and finish up manually.	None		None	CG - Pie with dick	
	I guess Rokuko is not the one who prepared the Lasagna.	None		None	CG - Pie with dick	
	At least it was not as messy. I just need to clean the table a little bit.	None		None	CG - Pie with dick	
	And I was going to shower anyway, so no harm done. My class starts soon.	None	S2-4	None	CG - Pie with dick	Mute
						
3	I cannot fuck this delicious pie. I will eat it all. It is so delicious.	None		None	My room	
	Time my for my shower now.	None	S2-4	None	My room	
						
4	That was a refreshing shower.	None		None	My room	Mute
	Let's go to my first day of class!	None		None	My room	Mute
	As I enter the class, I see the professor. According to my schedule, his name is Jacques. He seems uptight.	None		Jacques - Neutral	Kitchen	French
	I look for my designated cooking island. Looking around the class, I see Keisuke, Rokuko and Orika. They are all focused.	None		Keisuke, Rokuko, Orika - Neutral	Kitchen	
	The fact that Rokuko is focused is weird, since she said yesterday that she was here only for a degree.	None		Rokuko - Neutral	Kitchen	
	But I won't let that take place on my mind. The class will start, I should focus as well.	None		None	Kitchen	
	"Bonjour, my pupils."	Jacques		Jacques - Neutral	Kitchen	
	"A new term begins and, as many of you may already now, I do not tolerate any misbehavior in my class."	Jacques		Jacques - Neutral	Kitchen	
	"Should you have any questions, save it for after the class. I do not tolerate any interruptions."	Jacques		Jacques - Neutral	Kitchen	
	"Suggestions and comments DO NOT have place in my class. You all should do as you are told."	Jacques		Jacques - Neutral	Kitchen	
	"My methods have been tested already throughout all my career, and they work."	Jacques		Jacques - Neutral	Kitchen	
	"You do not talk to me unless I talk to you."	Jacques		Jacques - Neutral	Kitchen	
	"So, let's start."	Jacques		Jacques - Neutral	Kitchen	
	I'm afraid.	None		None	Kitchen	
	He starts cooking while describing what he is doing and why he is doing it.	None		None	Kitchen	
	After some minutes, I notice that, in fact, his method is great.	None		None	Kitchen	
	Nobody has said a word, except for him, but I am absorbing all the knowledge he is sharing.	None		None	Kitchen	
	50 minutes later...	None		None	Kitchen	
	"So, that's how you do a Baguette."	Jacques		Jacques - Neutral	Kitchen	
	For my surprise, I start feeling my dick getting hard.	None		Jacques - Neutral	Kitchen	
	"How would I fuck a Baguette?"	Hameru Tabe		Jacques - Neutral	Kitchen	
	"Save your questions for.. Wait, what?"	Jacques		Jacques - Suspicious	Kitchen	
	"Oh!"	Hameru Tabe		Jacques - Suspicious	Kitchen	
	Did I say that out loud?	None		Jacques - Suspicious	Kitchen	
	"Sorry sensei!"	Hameru Tabe		Jacques - Suspicious	Kitchen	
	"You should go to the infirmary right away."	Jacques		Jacques - Suspicious	Kitchen	
	I look around, everyone is looking at me.	None		Jacques - Suspicious	Kitchen	
	Is my boner so apparent?	None		Jacques - Suspicious	Kitchen	
	I look down.	None		Jacques - Suspicious	Kitchen	
	There's blood.	None		Jacques - Suspicious	Kitchen	
	I'm bleeding from my nose.	None		Jacques - Suspicious	Kitchen	
	"Sorry."	Hameru Tabe		Jacques - Suspicious	Kitchen	
	"You. You seem shy. You are the new class president. Take him to the nurse."	Jacques		Jacques - Neutral	Kitchen	
	Jacques is pointing to a shy girl that seems extremly annoyed for being appointed class president.	None		Jacques - Neutral	Kitchen	
	"But.. but.."	Shy Girl		En - Spooked	Kitchen	
	"That was an order. Go on already, I don't want a dead boy on my class."	Jacques		Jacques - Neutral	Kitchen	
	The girl seems pretty disturbed, and I still have a boner.	None		En - Spooked	Kitchen	
	[OPT] Grab girl and goes to infirmary.	None	S2-6	En - Spooked	Kitchen	
	[OPT] Go to infirmary by myself	None	S2-5	En - Spooked	Kitchen	
						
5	"I'll go by myself, don't bother."	Hameru Tabe	SET E I	En - Spooked	Kitchen	
	"Very well then."	Jacques		Jacques - Neutral	Kitchen	
	I try to move while hiding my boner, but I'm not sure I'm being successful at that.	None	S2-12	None	School corridor	
	I decide to go back to my room, to try to think about what's been going on.	None	S3-1	None	School corridor	Mute
						
6	"Let's go before he eats us alive. You'll be okay." - I whisper to her	Hameru Tabe		En - Spooked	Kitchen	
	"Okay..."	Shy Girl		En - Neutral	Kitchen	
	We go outside the class and towards the infirmary.	None		En - Neutral	School corridor	Theme
	"So... I am Kaneko En..."	En		En - Neutral	School corridor	
	She seems to be putting a lot of effort to start a conversation.	None		En - Neutral	School corridor	
	"I am Hameru Tabe. Sorry we have to meet like this."	Hameru Tabe		En - Neutral	School corridor	
	"Oh... It's okay... Are you feeling okay?"	En		En - Neutral	School corridor	
	"Yes, yes. I think the pressure on that class is too high, that's all."	Hameru Tabe		En - Neutral	School corridor	
	"Yes, it is... That teacher is a monster."	En		En - Spooked	School corridor	
	"But he is a genius."	Hameru Tabe		En - Neutral	School corridor	
	"I guess..."	En		En - Neutral	School corridor	
	"His cooking skills are beyond amazing. That Baguette..."	Hameru Tabe		En - Neutral	School corridor	
	I feel my cock getting harder. Shit.	None		En - Neutral	School corridor	
	"Oh... your... ahm... your... down there..."	En		En - Blushing	School corridor	
	"What? Oh, it's my cellphone."	Hameru Tabe		En - Blushing	School corridor	
	"Ahm... okay."	En		En - Blushing	School corridor	
	I don't think she bought that... Damn.	None		En - Blushing	School corridor	
	"It's pretty big, huh?"	En		En - Neutral	School corridor	
	"WHAT?"	Hameru Tabe		En - Neutral	School corridor	
	I look at her, she is looking up and to the end of the corridor.	None		En - Neutral	School corridor	
	"This place..."	En		En - Neutral	School corridor	
	"Oh, yes. I thought I would never be able to find my way around here, but everything seems familiar already."	Hameru Tabe		En - Neutral	School corridor	
	"I don't know how that feels. I don't think I've ever felt comfortable anywhere... Unless... nevermind."	En		En - Sad	School corridor	
	"Not even on the kitchen, by yourself?"	Hameru Tabe		En - Sad	School corridor	
	"Oh, yes. I thought I would never be able to find my way around here, but everything seems familiar already."	En		En - Neutral	School corridor	
	"What do you love cooking the most?"	Hameru Tabe		En - Neutral	School corridor	
	"Steak. In any way possible. I love steak."	En		En - Watering Mouth	School corridor	
	Her face seemed to light up.	None		En - Neutral	School corridor	
	I wonder how a beautifully grilled steak would fuck... Should I ask her to cook for me so I can fuck her steak?	None		En - Neutral	School corridor	
	[OPT] "Can you cook something for me?"	None	S2-8	En - Neutral	School corridor	
	[OPT] "I'm vegan. But I respect you. There's a huge market for chefs that are specialized in meat."	None	S2-7	En - Neutral	School corridor	
						
7	"I'm vegan. But I respect you. There's a huge market for chefs that are specialized in meat."	Hameru Tabe	SET E F	En - Neutral	School corridor	
	"Oh, sorry... I don't really know how to cook anything else..."	En		En - Sad	School corridor	
	"Well, that's okay. We're here to learn! And we can still be friends, right?"	Hameru Tabe		En - Sad	School corridor	
	"I guess..."	En		En - Neutral	School corridor	
	"C'mon, cheer up. At least you are not covered in blood."	Hameru Tabe		En - Neutral	School corridor	
	"I know some vegans that would disagree."	En		En - Neutral	School corridor	
	"Well, here's the infirmary. Can we talk more later?"	Hameru Tabe		En - Neutral	School corridor	
	"Sure..."	En		En - Neutral	School corridor	
	"Talk to you later, then?"	Hameru Tabe		En - Neutral	School corridor	
	"Okay..."	En	S2-12	En - Neutral	School corridor	
	I decide to go back to my room, to try to think about what's been going on.	None		None	School corridor	Mute
	I lie down on my bed to think, but since last night I haven't slept so well, I think I am already going to sleep.	None		None	My room	
	...zzzz	None	S3-1	None	My room	
						
8	"Can you cook something for me?"	Hameru Tabe	SET E L	En - Neutral	School corridor	
	"Ah... Sure... Why?"	En		En - Neutral	School corridor	
	"I am trying to get a sense of everybody's cooking to try to improve myself and others"	Hameru Tabe		En - Neutral	School corridor	
	Actually, I WANT TO FUCK YOUR FOOD TO CHECK IF YOU ARE THE ONE.	None		En - Neutral	School corridor	
	"Okay..."	En		En - Neutral	School corridor	
	"Can we do it right now?"	Hameru Tabe		En - Neutral	School corridor	
	"What? Right now? Why?"	En		En - Neutral	School corridor	
	"I don't have any more classes today, do you?"	Hameru Tabe		En - Neutral	School corridor	
	"No... But what about the infirmary?"	En		En - Neutral	School corridor	
	"Oh, I'm feeling better now. Maybe just a quick shower before that, if you can wait for me"	Hameru Tabe		En - Neutral	School corridor	
	"Okay..."	En		En - Neutral	School corridor	
	"You can gather the ingredients you'll need and we meet in the kitchen."	Hameru Tabe		En - Neutral	School corridor	
	"Sounds good."	En		En - Neutral	School corridor	
	"Okay, I'll be right there!"	Hameru Tabe		En - Neutral	School corridor	
	I told her I'd be going to take a shower, but I am actually going to the infirmary. I just didn't want her to be worried.	None		None	School corridor	
	She is already too much troubled by the class president matter as it is, I guess.	None	S2-12	None	School corridor	Mute
	Okay, think I'm ready now. Just need to go change my clothes.	None		None	School corridor	
	...	None		None	My room	
	After changing my clothes, I hurry to the kitchen to meet En.	None		None	My room	
	"Hey! Sorry for the delay."	Hameru Tabe		En - Happy	Kitchen	Theme
	"It's okay. I know sometimes boys take long showers." - She spoke so naturally, as if she was not shy at all.	En		En - Happy	Kitchen	
	"Oh no! It's not like that..."	Hameru Tabe		En - Happy	Kitchen	
	"Haha, it's okay. I masturbate most days."	En		En - Happy	Kitchen	
	What happened to her? Gosh.	None		En - Happy	Kitchen	
	"Oh. So, what are you cooking to me?"	Hameru Tabe		En - Happy	Kitchen	
	"You mean 'what are we cooking?'"	En		En - Happy	Kitchen	
	"I'm cooking too? I have no experience with meat..."	Hameru Tabe		En - Happy	Kitchen	
	"Just follow my lead."	En		En - Happy	Kitchen	
	She opens a case full of knives. Every good cook must have his own knives, which should never be shared. It is personal.	None		En - Happy	Kitchen	
	"I didn't bring my knifes..."	Hameru Tabe		En - Happy	Kitchen	
	"So, leave the cutting to me."	En		En - Happy	Kitchen	
	"Okay. What are WE cooking then?"	Hameru Tabe		En - Happy	Kitchen	
	"Vodka marinated steak"	En		En - Happy	Kitchen	
	Oh. I get it now. Gosh, I am so slow sometimes... She already drank some vodka.	None		En - Happy	Kitchen	
	"Nice. How should we start?"	Hameru Tabe		En - Happy	Kitchen	
	"Start by taking a drink."	En		En - Happy	Kitchen	
	"Oh, I don't drink while cooking."	Hameru Tabe		En - Happy	Kitchen	
	"Pussy."	En		En - Happy	Kitchen	
	"Sorry, what?"	Hameru Tabe		En - Happy	Kitchen	
	"Nevermind. Let's start."	En		En - Happy	Kitchen	
	I start preparing the meat, using salt, pepper and some herbs. She prepares the sauce.	None		En - Happy	Kitchen	
	She moves so gracefully, so different from her normal self.	None		En - Happy	Kitchen	
	If I didn't knew her shyness from just before, I'd never say she's drunk.	None		En - Happy	Kitchen	
	"Now, we must come closer."	En		En - Sexy	Kitchen	
	She puts herself between the counter and me.	None		En - Sexy	Kitchen	
	"This part is important."	En		En - Sexy	Kitchen	
	She stars smashing the meat with her hands.	None		En - Sexy	Kitchen	
	"C'mon, help me!"	En		En - Sexy	Kitchen	
	I start beating the meat and after a while, we are are so synchronized that it feels like we're one. I'm having fun.	None		En - Sexy	Kitchen	
	"Now, the best part."	En		En - Sexy	Kitchen	
	As she beat the meat, she starts to twerk on cock. I really don't know if she is doing that on purpose.	None		En - Sexy	Kitchen	Fuck
	I start to feel my cock getting harder.	None		En - Sexy	Kitchen	
	I remember the 'tense-legs' tip	None		En - Sexy	Kitchen	
	[OPT] Tense up my legs	None	S2-9	En - Sexy	Kitchen	
	[OPT] Relax my legs	None	S2-10	En - Sexy	Kitchen	
						
9	I tense up my legs. I cannot let my cock be hard for her. I don't care how drunk she is, this is wrong.	None	SET E S	En - Sexy	Kitchen	Mute
	"What's wrong? You seem tense."	En		En - Happy	Kitchen	Theme
	"You seem drunk."	Hameru Tabe		En - Happy	Kitchen	
	"I am! That's how I deal with being so boring. I am not boring now, right?"	En		En - Happy	Kitchen	
	"You were not boring before."	Hameru Tabe		En - Happy	Kitchen	
	"Awn... That's cute."	En		En - Happy	Kitchen	
	"Don't mock me."	Hameru Tabe		En - Happy	Kitchen	
	"I mean it."	En		En - Happy	Kitchen	
	"Shall we resume the cooking?"	Hameru Tabe		En - Happy	Kitchen	
	"Okay."	En		En - Happy	Kitchen	
	She turns her attention to the sauce while I go fetch the pans we'll need.	None		En - Happy	Kitchen	
	After around half an hour, the steak is ready.	None		En - Happy	Kitchen	
	I feel my cock getting hard again, and, again, tense up my legs.	None		En - Happy	Kitchen	
	It doesn't work.	None		En - Happy	Kitchen	
	It seems my blood flow right now is enough for my tensioned legs and my hardened cock. At least, I'm not nosebleeding.	None		En - Happy	Kitchen	
	"Are you okay?"	En		En - Happy	Kitchen	
	"Yeah, yeah, just a little tired. Do you mind if I go eat on my room?"	Hameru Tabe		En - Happy	Kitchen	
	"Can I go?"	En		En - Happy	Kitchen	
	"I don't think that is a good idea."	Hameru Tabe		En - Happy	Kitchen	
	"Are you sure?"	En		En - Happy	Kitchen	
	"Yeah."	Hameru Tabe		En - Happy	Kitchen	
	"Okay... Go on then, I'll go to my room as well. It's kinda late anyway."	En		En - Neutral	Kitchen	
	"I agree. Talk to you later then?"	Hameru Tabe		En - Neutral	Kitchen	
	"Yeah, and I'll talk to you too unless I'm sober haha"	En		En - Happy	Kitchen	
	"Haha I'll talk to you anyway."	Hameru Tabe		En - Happy	Kitchen	
	My dick is rock hard. It's weird the fact that I could resist a girl but could not resist food.	None		None	School corridor	Mute
	What am I thinking about? I am resisting the food.	None		None	School corridor	
	I mean, it's not like I'm going to fuck the steak here in the middle of the corridor....	None		None	School corridor	
	"What???"	Hameru Tabe		None	CG - Steak rolled on cock	Fuck
	I am jerking off with the steak rolled around my penis.	None		None	CG - Steak rolled on cock	
	WHEN DID THIS HAPPEN?	None		None	CG - Steak rolled on cock	
	But even being surprised of my own actions, I don't stop.	None		None	CG - Steak rolled on cock	
	This feels great.	None		None	CG - Steak rolled on cock	
	The fibers of the steak create a delicious friction on my cock.	None		None	CG - Steak rolled on cock	
	The sauce works as a perfect lubricant.	None		None	CG - Steak rolled on cock	
	I can't decide how much this is close to the pleasure I felt with the Lasagna, but...	None		None	CG - Steak rolled on cock	
	"So... You don't fuck me, but fucks my steak?"	En		En - Sexy	CG - Steak rolled on cock	Mute
	OH SHIT.	None		En - Sexy	School corridor	
	FUCK.	None		En - Sexy	School corridor	
	"This is not what you are thinking!"	Hameru Tabe		En - Sexy	School corridor	
	"Oh no? What it is then?"	En		En - Sexy	School corridor	
	"It is... It is... Erm..."	Hameru Tabe		En - Sexy	School corridor	
	"Go on."	En		En - Sexy	School corridor	
	"I... You made me aroused, and my... my willy started hurting. I decided to use the steak as a thermal bag."	Hameru Tabe		En - Sexy	CG - Steak rolled on cock	
	"That ALMOST makes sense, except that warmth would make your pain worse. You are fucking the steak."	En		En - Sexy	School corridor	
	"Oh... The warmth... No... Shit..."	Hameru Tabe		En - Sexy	School corridor	
	"Well, now, you'll have to fuck me."	En		En - Sexy	School corridor	
	"What?"	Hameru Tabe		En - Watering Mouth	School corridor	Fuck
	"Yeah. I know your cock must be tasting pretty good right now."	En		En - Watering Mouth	School corridor	
	She drops down on her knees in front of me and grabs my cock.	None		En - Watering Mouth	CG - En sucking	
	She is sucking it.	None		En - Watering Mouth	CG - En sucking	
	"Hmph... feels good, right?"	En		En - Watering Mouth	CG - En sucking	
	"Oh... This is wrong... Oh..."	Hameru Tabe		En - Watering Mouth	CG - En sucking	
	"Yeah, it is."	En		En - Watering Mouth	CG - En sucking	
	"We're on the corridor!"	Hameru Tabe		En - Watering Mouth	School corridor	
	"Hmph... let's go back to your room then."	En		En - Watering Mouth	School corridor	
	"Okay... but... keep masturbating me with the steak..."	Hameru Tabe	S2-11	En - Watering Mouth	School corridor	
						
10	I relax my legs.	None		En - Sexy	Kitchen	Fuck
	"Hm.. This feels good."	En		En - Sexy	Kitchen	
	One of her hands reaches for my pants and pulls it down.	None		En - Sexy	Kitchen	
	I close my eyes.	None		En - Sexy	Kitchen	
	She starts caressing me.	None		En - Sexy	Kitchen	
	This feels good indeed.	None		En - Sexy	Kitchen	
	...	None		En - Sexy	Kitchen	
	She grabs my body, moves around me and stops behind me.	None		En - Sexy	Kitchen	
	With one of her hands, she grab my cock. With the other, she grabs a bottle of kitchen oil that was on the counter.	None		En - Sexy	Kitchen	
	"What are you doing?"	Hameru Tabe		En - Sexy	Kitchen	
	"Relax. If you don't like it, just let me know and I'll stop."	En		En - Sexy	Kitchen	
	"... okay"	Hameru Tabe		En - Sexy	Kitchen	
	Then, she starts pouring the kitchen oil on my butt crack. I don't know how I feel about this, but I say nothing.	None		En - Sexy	Kitchen	
	"Now, for the fun part."	En		En - Sexy	Kitchen	
	She opens a secret compartment on her knife case, and there is a bunch of phallic food. She grabs a carrot,	None		En - Sexy	Kitchen	
	"Let's start slow, okay?"	En		En - Sexy	Kitchen	
	I say nothing. Just let it continue to see what will happen.	None		En - Sexy	Kitchen	
	She starts inserting the carrot on my ass.	None		En - Sexy	Kitchen	
	It feels... It feels... It feels good.	None		En - Sexy	Kitchen	
	"Can you keep going while I finish the steak?"	En		En - Sexy	Kitchen	
	"Oh... Yes."	Hameru Tabe		En - Sexy	Kitchen	
	"You can fuck me too, if you want me."	En		En - Sexy	Kitchen	
	She puts the pan on the fire and lowers her pants.	None		En - Sexy	Kitchen	
	"Come on."	En		En - Sexy	Kitchen	
	I put my cock inside her.	None		En - Sexy	Kitchen	
	"Aah... ooh..."	En		En - Sexy	Kitchen	
	With one hand, I manipulate the carrot on my ass, with the other, I poke the steak with a fork.	None		En - Aroused	CG - Cooking+fucking with carrot	
	"Cooking... and fucking... at the same... time... is great..."	En		En - Aroused	CG - Cooking+fucking with carrot	
	"Yes..."	Hameru Tabe		En - Aroused	CG - Cooking+fucking with carrot	
	We fuck until the steak is ready, then, while still fucking, we start eating.	None		En - Aroused	Kitchen	
	I don't know if it is the fucking that is making this so good, but the steak is delicious.	None		En - Aroused	Kitchen	
	Probably the best steak I've ever had.	None		En - Aroused	Kitchen	
	Gosh, En really knows how to cook meat.	None		En - Aroused	Kitchen	
	And she really knows how to have fun.	None		En - Aroused	Kitchen	
	"Can we go to your room?"	En		En - Sexy	Kitchen	
	Oh yes! We are on the kitchen! Hope no one saw us... We better go.	None		En - Sexy	Kitchen	
	"Yeah"	Hameru Tabe	S2-11	En - Sexy	Kitchen	
						
11	We move down the corridor and she is gently dragging me by my cock.	None		En - Sexy	School corridor	Fuck
	I guide her to my room, and as we arrive, I open the door, she goes inside and gets naked.	None		En - Sexy	My room	
	She has a great body.	None		En - Naked	My room	
	We repeat everything we did before, but naked this time. It doesn't feel as good as any other food I've fucked, but still...	None		En - Naked	My room	
	I cum, she cums. And I think the day is over. She is dressing up.	None		En - Naked	My room	Mute
	"That was fun. And weird. I don't tell if you don't."	En		En - Naked	My room	
	"Okay..."	Hameru Tabe		En - Happy	My room	
	"Bye bye, babe."	En		En - Happy	My room	
	"Bye."	Hameru Tabe		En - Happy	My room	
	That farewell was weird. But I am so tired that I just want to go to sleep.	None		None	My room	
	And before I know...	None		None	My room	
	...zzzz	None	S3-1	None	My room	
						
12	I remember the nurse office from yesterday. I arrive there quite quickly.	None		None	School corridor	
	The nurse's name is on the door: Tsuda Izumi	None		None	School corridor	
	I knock on the door and a beautiful nurse appears.	None		None	School corridor	
	"Hello, how can I help? Oh!"	Izumi		Izumi - Blushing	School corridor	
	"Please, come inside. Lie down."	Izumi		Izumi - Blushing	School corridor	
	She directs me to a bed on the side, then she closes a curtain around the bed.	None		Izumi - Blushing	Infirmary	Nurse
	"I can see what happened. I see that a lot on high schoolers, but not so much on college."	Izumi		Izumi - Blushing	Infirmary	
	"First, let me clean you up."	Izumi		Izumi - Blushing	Infirmary	
	She grabs a tissue and starts cleaning my nose.	None		Izumi - Neutral	Infirmary	
	"Now, let's take care of what caused this mess."	Izumi		Izumi - Blushing	Infirmary	
	She goes around the bed, next to my feet and grabs my legs.	None		Izumi - Neutral	Infirmary	
	"I need you to tense up your legs. Make them as rigid as your cock."	Izumi		Izumi - Neutral	Infirmary	
	"What?"	Hameru Tabe		Izumi - Neutral	Infirmary	
	"Go on, make them as rigid as you can!"	Izumi		Izumi - Neutral	Infirmary	
	I could swear she said "as rigid as your cock"...	None		Izumi - Neutral	Infirmary	
	"Okay..."	Izumi		Izumi - Neutral	Infirmary	
	I tense up my legs.	None		Izumi - Neutral	Infirmary	
	"What will happen is that the blood flow will move to your legs. That will solve your... erm... embarrassment."	Izumi		Izumi - Blushing	Infirmary	
	After 20 seconds or so, my dick starts going down. That 'tense legs' stuff really works!	None		Izumi - Neutral	Infirmary	
	"So, it seems you're going back to your socially accepted self."	Izumi		Izumi - Happy	Infirmary	
	"Wanna talk about what happened before?"	Izumi		Izumi - Neutral	Infirmary	
	[OPT] "Well... this may sound weird... but I've been feeling sexually attracted to food."	None	E1-1	Izumi - Neutral	Infirmary	
	[OPT] "Not really. I'm not feeling much like myself these days..."	None	S2-13	Izumi - Neutral	Infirmary	
						
13	"Not really. I'm not feeling much like myself these days..."	Hameru Tabe		Izumi - Neutral	Infirmary	
	"Oh well, ok then. You can stay here as long as you want, but you are also free to go."	Izumi		Izumi - Neutral	Infirmary	
	"And if you need any help, medical or not, feel free to come by!"	Izumi		Izumi - Neutral	Infirmary	
	"Thanks. I'll be leaving, just give some moments, please."	Hameru Tabe		Izumi - Neutral	Infirmary	
	"Sure."	Izumi		Izumi - Neutral	Infirmary	
